"ComplicationTypeID","CompicationName","Description","ImmediateIntervention"
1,"Intradialytic Hypotension","Drop in systolic blood pressure (>= 20mmHg) or MAP (>=10) during HD;- Diziness, lightheadedness, blurred vision, nausea, or muscle cramps.","Place patient in Trendelenburg position; Give saline bolus; Stop UF; Provide Oxygen if needed."
2,"Muscle cramps/Spasms","Involuntary muscle contractions, often associated with rapid ultrafiltration or low dialysate sodium/calcium","Reduce UF rate; Administer NS bolus(100-200ml); Stretching of the affected muscle."
3,"Air Embolism","Sudden shortness of breath, chest pain, and ""doom"" feeling;- Life-threatening entry of air into the venous line","The DURANT Maneuver;- Clamp the lines, Stop the pump, Positioning(The Durant Position - Left side in Trendelenberg i.e head down, feet up); 100% high flow oxygen via mask; Call for help."
4,"Chest pain","Any discomfort, pressure, or pain in the chest area during dialysis;-  Must be differentiated between cardiac ischemia, air embolism, or anxiety. May radiate to the jaw, neck or left arm.","Stop pump immediately; Administer Oxygen; Notify Superior; Perform ECG; Consider sublingual nitroglycerine"
5,"Headache","Usually mild, due to fluid shifts","Check blood pressure; Administer Paracetamol; Dim the lights, Assess for other neurological symptoms to rule out DDS."
6,"Access bleeding","Bleeding from fistula, graft, or catheter","Apply firm manual pressure to site; If from catheter, check caps/clamps; If from fistula, use sterile gauze and pressure."
7,"Hypoglycemia","Rapid drop in blood Glucose < 3.9mmol/L  characterized by sudden cold sweating(diaphoresis), tremors, palpitations and neuroglycopenic signs like confusion, irritability, or LOC.","Check blood glucose; Administer IV Dextrose 25g(50ml) 0f 50%. Re-check glucose in 15mins."
8,"Disequilibrium Syndrome","Headache, nausea, blurred vision, restlessness, severe cases seizures or coma - Is a neurologic syndrome caused by rapid removal of urea from the blood during HD, leadimg to cerebral edema.","Reduce BFR; Notify Superior; Consider mannitol or hypertonic saline; Stop session if severe."
9,"Pyrogenic Reaction / Rigors","Sudden onset high fever, rigors, and hypotension 1-2hrs into the session;- Is a systemic inflammatory response due to presence of endotoxins or pyrogens in the dialysate or water system.","Stop Dialysis immediately; DO NOT return blood; Take blood cultures from blood and dialysate; Administer antipyretics; Check water/dialysate system."
10,"First-Use Syndrome","Anaphylactic reaction to the dialyzer membrane/sterilant.","Stop blood pump; Administer antihistamines/steroids; Do not reuse that dialyzer type."
11,"Arrhythmia","Irregular heartbeat, often from electrolyte shifts","Monitor vitals and ECG; Assess for chest pain or shortness of breath; Notify Superior; Check potassium levels in dialysate; Have crash cart nearby."
12,"Other/Unknown","Any rare or unlisted complication","Stabilize patient basing on symptoms; Notify Superior; Document specific events in notes for later audit."
