"DrugID","DrugName","DefaultRoute","Category","StandardUnit","Contains"
1,"Heparin (Unfractionated)","IV","Anticoagulant","IU",
2,"Clexane (Enoxaparin)","SC","Anticoagulant","IU",
3,"Erythropoetin (EPO)","SC","ESA/Anemia","IU",
4,"Iron Sucrose","IV Infusion","Iron Supplement","mg",
5,"Sevalemar","Oral","Phasphate Binder","mg",
6,"Calcium Carbonate","Oral","Phosphate Binder","mg",
7,"Alpha Calcidiol","Oral","Vitamin D (Active)","mcg",
8,"Calcitriol","IV","Vitamin D (Active)","mcg",
9,"Hydrocortison","IV","Sterod/Allergy","ml",
10,"Dextrose 50%","IV","Glucose","ml",
11,"Normal Saline","IV","Fluid/Emergency","ml",
12,"Insulin","IV/SC",,"IU",
13,"IV Paracetamol","IV","Analgesic","ml",
14,"IM Tramadol","IM","Analgesic","ml",
