"CauseID","CauseName"
1,"Hypertension"
2,"Pregnancy-Related AKI"
3,"Post-Obstetric CKD"
4,"Malaria-induced AKI"
5,"Malaria-associated CKD"
6,"Type 2 Diabetic Nephropathy"
7,"Type 1 Diabetic Nephropathy"
8,"Obstructive Uropathy"
9,"Nephrotic Syndrome (Primary)"
10,"Acute Glomerulonephritis (AGN)"
11,"Chronic Glomerulonephritis"
12,"Acute Tubular Necrosis (Ischemic)"
13,"Acute Tubular Necrosis (Nephrotoxic)"
14,"Polycystic Kidney Disease"
15,"Chronic Pyelonephritis"
16,"Use of Herbal Medicines"
17,"Lupus Nephritis"
18,"Acute Interstitial Nephritis (AIN)"
19,"Sickle Cell Nephropathy"
20,"Pigment Nephropathy"
23,"HIV-Associated Nephropathy (HIVAN)"
24,"Sepsis-Associated AKI"
27,"Poisoning/Toxins"
28,"Unknown/Other"
